Commissioning Year;Refinery;Owner;Location;District;State;Latitude;Longitude;Geo;Sector;Status;Petroleum Coke  Grade;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18
1999;Reliance Jamnagar Complex;Reliance Industries Limited;Motikhavdi;Jamnagar;Gujarat;22.334515;69.854445;22.334515, 69.854445;Private;Operational;Fuel Grade RPC;27.0;27.0;27.0;33.0;33.0;33.0;33.0;33.0;33.0;33.0;33.0;33.0;33.0;33.0;33.0;33.0;33.0
2011;Bina Refinery;Bharat Oman Refinery Limited;Bina;Bina Etawa;Madhya Pradesh;24.253091;78.159312;24.253091, 78.159312;JV;Operational;;;;;;;;;;;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0
2012;Guru Gobind Singh Oil Refinery;HPCL Mittal Energy Limited;Talwandi Saboo;Bathinda;Punjab;29.922916;74.956391;29.922916, 74.956391;JV;Operational;Fuel Grade RPC;;;;;;;;;;;9.0;9.0;9.0;9.0;9.0;11.3;11.3
1964;Barauni Refinery;Indian Oil Corporation Limited;Barauni;Begusarai;Bihar;25.430556;86.059765;25.430556, 86.059765;Public;Operational;Calcination Grade RPC;4.2;4.2;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0
1975;Haldia Refinery;Indian Oil Corporation Limited;Haldia;Purba Medinipur;West Bengal;22.048996;88.107653;22.048996, 88.107653;Public;Operational;;4.6;4.6;6.0;6.0;6.0;6.0;6.0;6.0;6.0;7.5;7.5;7.5;7.5;7.5;7.5;7.5;7.5
2016;Paradip Refinery;Indian Oil Corporation Limited;Paradip;Jagatsinghpur;Odisha;20.246263;86.596607;20.246263, 86.596607;Public;Operational;Fuel Grade RPC;;;;;;;;;;;;;;;;15.0;15.0
1957;Vishakhapatnam Refinery;Hindustan Petroleum Corporation Limited;Gajuwaka;Vishakhapatnam;Andhra Pradesh;17.698451;83.244663;17.698451, 83.244663;Public;Operational;;7.5;7.5;7.5;7.5;7.5;7.5;7.5;7.5;7.5;8.3;8.3;8.3;8.3;8.3;8.3;8.3;8.33
1955;BPCL Mumbai Refinery;Bharat Petroleum Corporation Limited;Mahul;Mumbai;Maharashtra;19.017965;72.892383;19.017965, 72.892383;Public;Operational;;6.9;6.9;6.9;6.9;6.9;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0
1996;Mangalore Refinery;Mangalore Refinery and Petrochemicals Limited;Mangalore;Dakshina Kannada;Karnataka;12.979216;74.846008;12.979216, 74.846008;Public;Operational;;9.69;9.69;9.69;9.69;9.69;9.69;9.69;9.69;9.69;11.82;11.82;15.0;15.0;15.0;15.0;15.0;15.0
2008;RPL SEZ Refinery;Reliance Industries Limited;Motikhavdi;Jamnagar;Gujarat;22.336683;69.886879;22.336683, 69.886879;Private;Operational;Fuel Grade RPC;;;;;;;;;27.0;27.0;27.0;27.0;27.0;27.0;27.0;27.0;27.0
1962;Guwahati Refinery;Indian Oil Corporation Limited;Noonmati;Guwahati;Assam;26.18532;91.808971;26.18532, 91.808971;Public;Operational;Calcination Grade RPC;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
1982;Mathura Refinery;Indian Oil Corporation Limited;Mathura;Mathura;Uttar Pradesh;27.378052;77.687125;27.378052, 77.687125;Public;Operational;;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0
1998;Panipat Refinery;Indian Oil Corporation Limited;Panipat;Panipat;Haryana;29.472913;76.874579;29.472913, 76.874579;Public;Operational;Fuel Grade RPC;6.0;6.0;6.0;6.0;6.0;6.0;12.0;12.0;12.0;12.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0
2001;Tatipaka Refinery;ONGC Limited;Tatipaka;East Godavari;Andhra Pradesh;16.502393;81.8957;16.502393, 81.8957;Public;Operational;;0.08;0.08;0.08;0.08;0.08;0.08;0.066;0.066;0.066;0.066;0.066;0.066;0.066;0.066;0.066;0.066;0.066
1965;Koyali Refinery;Indian Oil Corporation Limited;Koyali;Vadodara;Gujarat;22.370105;73.120178;22.370105, 73.120178;Public;Operational;;13.7;13.7;13.7;13.7;13.7;13.7;13.7;13.7;13.7;13.7;13.7;13.7;13.7;13.7;13.7;13.7;13.7
1954;Mumbai Refinery;Hindustan Petroleum Corporation Limited;Mahul;Mumbai;Maharashtra;19.015781;72.902506;19.015781, 72.902506;Public;Operational;;5.5;5.5;5.5;5.5;5.5;5.5;5.5;5.5;5.5;6.5;6.5;6.5;6.5;6.5;6.5;7.5;7.5
1993;Cauvery Basin Refinery;Chennai Petroleum Corporation Limited;Nagapattinam;Nagapattinam;Tamil Nadu;10.82698;79.80958;10.82698, 79.80958;Public;Operational;;0.5;0.5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
2000;Numaligarh Refinery;Numaligarh Refinery Limited;Morangi;Golaghat;Assam;26.57833;93.78449;26.57833, 93.78449;Public;Operational;Fuel Grade RPC;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0
1901;Digboi Refinery;Indian Oil Corporation Limited;Digboi;Tinsukia;Assam;27.387804;95.618267;27.387804, 95.618267;Public;Operational;Calcination Grade RPC;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65
1969;Manali Refinery;Chennai Petroleum Corporation Limited;Manali;Chennai;Tamil Nadu;13.164583;80.277678;13.164583, 80.277678;Public;Operational;;6.5;6.5;6.5;9.5;9.5;9.5;9.5;9.5;9.5;9.5;10.5;10.5;10.5;10.5;10.5;10.5;10.5
1963;Kochi Refinery;Bharat Petroleum Corporation Limited;Ambalamugal;Ernakulam;Kerala;9.970962;76.374894;9.970962, 76.374894;Public;Operational;Fuel Grade RPC;7.5;7.5;7.5;7.5;7.5;7.5;7.5;7.5;9.5;9.5;9.5;9.5;9.5;9.5;9.5;9.5;10.95
1974;Bongaigaon Refinery;Indian Oil Corporation Limited;Bongaigaon;Bongaigaon;Assam;26.515238;90.533426;26.515238, 90.533426;Public;Operational;Calcination Grade RPC;2.35;2.35;2.35;2.35;2.35;2.35;2.35;2.35;2.35;2.35;2.35;2.35;2.35;2.35;2.35;2.35;2.35
2008;Vadinar Refinery;Essar Oil Limited;Vadinar;Devbhoomi Dwarka;Gujarat;22.333376;69.755009;22.333376, 69.755009;Private;Operational;Fuel Grade RPC;;;;;;;10.5;10.5;10.5;10.5;10.5;18.0;20.0;20.0;20.0;20.0;20.0
;;;;;;;;;;;;114.67;114.67;118.37;127.37;127.37;132.47;148.956;148.956;177.956;189.386;202.386;213.066;215.066;215.066;215.066;233.366;234.846
